class_name,class_description,method,method_description,data_type
class_name,class_description,method,method_description,data_type
constant-values,N/A,N/A,N/A,N/A
overview-tree,N/A,N/A,N/A,N/A
index,N/A,N/A,N/A,N/A
overview-frame,N/A,N/A,N/A,N/A
allclasses-noframe,N/A,N/A,N/A,N/A
index-all,Contains data about Amazon Coins that may be rewarded to customers after they purchase the associated Product.,N/A,N/A,N/A
deprecated-list,N/A,N/A,N/A,N/A
overview-summary,Provides classes and an interface that are required to use the In-App Purchasing API with the Amazon Appstore.,N/A,N/A,N/A
help-doc,N/A,N/A,N/A,N/A
allclasses-frame,N/A,N/A,N/A,N/A
com.amazon.device.iap.PurchasingService,"Presents the primary API for interacting with the Amazon Appstore purchasing framework. First register a
 PurchasingListener instance via
 registerListener(Context, PurchasingListener) before using any other API.",getProductData(java.util.Set<java.lang.String> skus),"Initiates a request to retrieve item data of up to one-hundred
 SKUs.",static RequestId
com.amazon.device.iap.PurchasingService,"Presents the primary API for interacting with the Amazon Appstore purchasing framework. First register a
 PurchasingListener instance via
 registerListener(Context, PurchasingListener) before using any other API.",getPurchaseUpdates(boolean reset),"Initiates a request to retrieve updates about items the customer has
 purchased and/or canceled.",static RequestId
com.amazon.device.iap.PurchasingService,"Presents the primary API for interacting with the Amazon Appstore purchasing framework. First register a
 PurchasingListener instance via
 registerListener(Context, PurchasingListener) before using any other API.",getUserData(),Initiates a request to retrieve the user ID of the currently logged-in user.,static RequestId
com.amazon.device.iap.PurchasingService,"Presents the primary API for interacting with the Amazon Appstore purchasing framework. First register a
 PurchasingListener instance via
 registerListener(Context, PurchasingListener) before using any other API.","notifyFulfillment(java.lang.String receiptId,
                 FulfillmentResult fulfillmentResult)",Notifies Amazon about the purchase fulfillment.,static void
com.amazon.device.iap.PurchasingService,"Presents the primary API for interacting with the Amazon Appstore purchasing framework. First register a
 PurchasingListener instance via
 registerListener(Context, PurchasingListener) before using any other API.",purchase(java.lang.String sku),Initiates a purchase-flow for a product.,static RequestId
com.amazon.device.iap.PurchasingService,"Presents the primary API for interacting with the Amazon Appstore purchasing framework. First register a
 PurchasingListener instance via
 registerListener(Context, PurchasingListener) before using any other API.","registerListener(android.content.Context appContext,
                PurchasingListener listener)","Before invoking operations in this class, register a
 PurchasingListener and its Context.",static void
com.amazon.device.iap.PurchasingListener,"
 Clients must implement the PurchasingListener and register an
 instance of their implementation with
 PurchasingService.registerListener(android.content.Context, PurchasingListener)
 before using other APIs in the PurchasingService.
 

 Your registered implementation of PurchasingListener 
 asynchronously receives callbacks when operations you initiate via methods in
 the PurchasingService have completed.
 

 For example, if you initiate a purchase with
 PurchasingService.purchase(String), you will eventually receive a
 notification that the PurchaseResponse is available by your
 implemented onPurchaseResponse(PurchaseResponse)
 method.
 

 Keep in mind that your UI thread invokes these callbacks. Execute
 time-intensive tasks on another thread.
 ",onProductDataResponse(ProductDataResponse productDataResponse),"
 This callback method is invoked when an ProductDataResponse is
 available for a request initiated by
 PurchasingService.getProductData(java.util.Set).",void
com.amazon.device.iap.PurchasingListener,"
 Clients must implement the PurchasingListener and register an
 instance of their implementation with
 PurchasingService.registerListener(android.content.Context, PurchasingListener)
 before using other APIs in the PurchasingService.
 

 Your registered implementation of PurchasingListener 
 asynchronously receives callbacks when operations you initiate via methods in
 the PurchasingService have completed.
 

 For example, if you initiate a purchase with
 PurchasingService.purchase(String), you will eventually receive a
 notification that the PurchaseResponse is available by your
 implemented onPurchaseResponse(PurchaseResponse)
 method.
 

 Keep in mind that your UI thread invokes these callbacks. Execute
 time-intensive tasks on another thread.
 ",onPurchaseResponse(PurchaseResponse purchaseResponse),"
 This callback method is invoked when a PurchaseResponse is
 available for a purchase initiated by
 PurchasingService.purchase(String).",void
com.amazon.device.iap.PurchasingListener,"
 Clients must implement the PurchasingListener and register an
 instance of their implementation with
 PurchasingService.registerListener(android.content.Context, PurchasingListener)
 before using other APIs in the PurchasingService.
 

 Your registered implementation of PurchasingListener 
 asynchronously receives callbacks when operations you initiate via methods in
 the PurchasingService have completed.
 

 For example, if you initiate a purchase with
 PurchasingService.purchase(String), you will eventually receive a
 notification that the PurchaseResponse is available by your
 implemented onPurchaseResponse(PurchaseResponse)
 method.
 

 Keep in mind that your UI thread invokes these callbacks. Execute
 time-intensive tasks on another thread.
 ",onPurchaseUpdatesResponse(PurchaseUpdatesResponse purchaseUpdatesResponse),"
 This callback method is invoked when a PurchaseUpdatesResponse is
 available for a request initiated by
 PurchasingService.getPurchaseUpdates(boolean).",void
com.amazon.device.iap.PurchasingListener,"
 Clients must implement the PurchasingListener and register an
 instance of their implementation with
 PurchasingService.registerListener(android.content.Context, PurchasingListener)
 before using other APIs in the PurchasingService.
 

 Your registered implementation of PurchasingListener 
 asynchronously receives callbacks when operations you initiate via methods in
 the PurchasingService have completed.
 

 For example, if you initiate a purchase with
 PurchasingService.purchase(String), you will eventually receive a
 notification that the PurchaseResponse is available by your
 implemented onPurchaseResponse(PurchaseResponse)
 method.
 

 Keep in mind that your UI thread invokes these callbacks. Execute
 time-intensive tasks on another thread.
 ",onUserDataResponse(UserDataResponse userDataResponse),"
 This callback method is invoked when a UserDataResponse is
 available for a request initiated by
 PurchasingService.getUserData().",void
com.amazon.device.iap.package-frame,N/A,N/A,N/A,N/A
com.amazon.device.iap.package-summary,Provides classes and an interface that are required to use the In-App Purchasing API with the Amazon Appstore.,N/A,N/A,N/A
com.amazon.device.iap.ResponseReceiver,"
 You must register this class as a broadcast receiver in your
 AndroidManifest.xml in order to receive broadcast intents from the Amazon
 Appstore for Android. 
 You must add the following entry in your AndroidManifest.xml file:
 


 <!-- Include these lines in your AndroidManifest.xml -->
 <receiver android:name=""com.amazon.device.iap.ResponseReceiver"" >
     <intent-filter>
         <action
             android:name=""com.amazon.inapp.purchasing.NOTIFY""
             android:permission=""com.amazon.inapp.purchasing.Permission.NOTIFY"" />
     </intent-filter>
 </receiver>
 

 
 
","onReceive(android.content.Context context,
         android.content.Intent intent)",Handles broadcast intents from Amazon Appstore.,void
com.amazon.device.iap.package-tree,N/A,N/A,N/A,N/A
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",equals(java.lang.Object obj),Compares this Receipt to the specified object.,boolean
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",getCancelDate(),"Returns the cancel date for the purchase, or null if it is not canceled.",java.util.Date
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",getProductType(),Returns the type of product.,ProductType
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",getPurchaseDate(),Returns the purchase date for the purchase.,java.util.Date
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",getReceiptId(),Returns a receipt ID which is a unique identifier of a purchase.,java.lang.String
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",getSku(),Returns the SKU of the purchase.,java.lang.String
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",hashCode(),Returns a hash code for this Receipt.,int
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",isCanceled(),Checks cancellation or expiration of the receipt.,boolean
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",toJSON(),"Utility method to return a JSON object containing the information for a
 Receipt instance.",org.json.JSONObject
com.amazon.device.iap.model.Receipt,"Represents the purchase of consumable content, entitlement content or
 subscription content, as well as the renewal of a subscription.",toString(),"Utility method to return a String object that contains the information
 for a Receipt instance.",java.lang.String
com.amazon.device.iap.model.UserDataResponse.RequestStatus,"Represents the status of a get user data request initiated by
 PurchasingService.getUserData().",valueOf(java.lang.String name),Returns the enum constant of this type with the specified name.,static UserDataResponse.RequestStatus
com.amazon.device.iap.model.UserDataResponse.RequestStatus,"Represents the status of a get user data request initiated by
 PurchasingService.getUserData().",values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static UserDataResponse.RequestStatus[]
com.amazon.device.iap.model.RequestId,Represents the id of any in-app purchasing request.,describeContents(),N/A,int
com.amazon.device.iap.model.RequestId,Represents the id of any in-app purchasing request.,equals(java.lang.Object other),Compares two request IDs.,boolean
com.amazon.device.iap.model.RequestId,Represents the id of any in-app purchasing request.,fromString(java.lang.String encodedId),Creates a RequestId from its encoded string form.,static RequestId
com.amazon.device.iap.model.RequestId,Represents the id of any in-app purchasing request.,hashCode(),N/A,int
com.amazon.device.iap.model.RequestId,Represents the id of any in-app purchasing request.,toJSON(),"Utility method to return a JSON object containing the information for a
 RequestId instance.",org.json.JSONObject
com.amazon.device.iap.model.RequestId,Represents the id of any in-app purchasing request.,toString(),Returns the encoded string form of the RequestId.,java.lang.String
com.amazon.device.iap.model.RequestId,Represents the id of any in-app purchasing request.,"writeToParcel(android.os.Parcel out,
             int flags)",N/A,void
com.amazon.device.iap.model.PurchaseResponse.RequestStatus,"Represents the status of a purchase request initiated via
 PurchasingService.purchase(String).",safeValueOf(java.lang.String val),N/A,static PurchaseResponse.RequestStatus
com.amazon.device.iap.model.PurchaseResponse.RequestStatus,"Represents the status of a purchase request initiated via
 PurchasingService.purchase(String).",valueOf(java.lang.String name),Returns the enum constant of this type with the specified name.,static PurchaseResponse.RequestStatus
com.amazon.device.iap.model.PurchaseResponse.RequestStatus,"Represents the status of a purchase request initiated via
 PurchasingService.purchase(String).",values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static PurchaseResponse.RequestStatus[]
com.amazon.device.iap.model.Product,"Represents an in-app product, such as consumable content, entitlement content,
 or subscription content. Retrieve product data by using
 PurchasingService.getProductData(java.util.Set)
 .",describeContents(),N/A,int
com.amazon.device.iap.model.Product,"Represents an in-app product, such as consumable content, entitlement content,
 or subscription content. Retrieve product data by using
 PurchasingService.getProductData(java.util.Set)
 .",getCoinsReward(),May be null.,CoinsReward
com.amazon.device.iap.model.Product,"Represents an in-app product, such as consumable content, entitlement content,
 or subscription content. Retrieve product data by using
 PurchasingService.getProductData(java.util.Set)
 .",getDescription(),Returns the localized description of the product.,java.lang.String
